Team,Win-Loss Record,Win %,MOV,ATS +/-
Phoenix,71-24-0,0.747,6.3,0.6
Golden State,69-35-0,0.664,5.4,1
Memphis,62-32-0,0.66,5.3,3.2
Miami,64-36-0,0.64,4.3,1.5
Milwaukee,58-36-0,0.617,3.1,-1.7
Boston,65-41-0,0.613,6.4,3
Dallas,61-39-0,0.61,2.8,1.7
Philadelphia,57-37-0,0.606,2.3,-0.7
Utah,51-37-0,0.58,5.2,-1.3
Toronto,50-38-0,0.568,1.6,0.7
Denver,49-38-0,0.563,1.7,-0.5
Minnesota,49-40-0,0.551,2.1,1.2
Chicago,47-40-0,0.54,-1.2,-1.6
Cleveland,44-40-0,0.524,1.9,2.3
Charlotte,43-40-0,0.518,0.1,0.8
Brooklyn,45-42-0,0.517,0.6,-2
Atlanta,46-43-0,0.517,1.2,-0.8
LA Clippers,42-42-0,0.5,-0.1,0.1
New York,37-45-0,0.451,-0.1,0.2
New Orleans,40-50-0,0.444,-0.8,1.7
Washington,35-47-0,0.427,-3.4,-1.3
San Antonio,34-49-0,0.41,0,1.7
LA Lakers,33-49-0,0.402,-3,-2.6
Sacramento,30-52-0,0.366,-5.5,-2.1
Portland,27-55-0,0.329,-8.9,-4.6
Indiana,25-57-0,0.305,-3.5,-1.1
Okla City,24-58-0,0.293,-8.1,0.2
Detroit,23-59-0,0.281,-7.7,-0.3
Orlando,22-60-0,0.268,-8,-0.6
Houston,20-62-0,0.244,-8.5,-0.9
